CallTimes	TotalTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	ReverseBTime	ReverseYTime	0	1	2	3	4	5	6	7	8	9	10	9Rate	0time	1time	2time	3time	4time	5time	6time	7time	8time	9time	10time
41000001	4716597	19381836994	3158172433774	589198539124	911621452949	617813	412160	197120	2309099	194885	33802	6554	1472	736	64	304	528	0.06694058373315649	3659	44192	6230	1570	310	79	31	0	96	77	4660353
42000001	4829573	19854638555	3233921338847	603241703221	933461621280	617813	412160	208453	2378333	199072	34192	6752	1632	768	96	304	528	0.06738404601466558	3768	45400	6386	1586	325	94	31	0	96	77	4771810
43000001	4945390	20326903548	3311400629746	617769659178	955856846726	617813	412160	212352	2427936	204960	34192	6752	1632	768	96	304	528	0.06719813797213632	3846	46458	6572	1586	325	94	31	0	96	77	4886305
44000001	5061397	20797362436	3389064451578	632299588569	978285563273	617813	412160	212352	2476942	212142	34807	6779	1659	768	96	304	528	0.06696311211447473	3846	47287	6758	1649	341	94	31	0	96	77	5001218
45000001	5177140	21270416644	3466537412171	646812929476	1000649187820	617813	412160	215936	2528089	218131	34832	6784	1664	768	96	304	528	0.06682515407055213	3893	48303	6914	1649	341	94	31	0	96	77	5115742
46000001	5293063	21743136166	3544121626480	661313985139	1023046455888	617813	412160	215936	2577737	224293	37520	6992	1679	800	96	336	528	0.06665036811629635	3893	49161	7088	1773	341	94	31	0	96	77	5230509
47000001	5408199	22214331245	3621208494821	675676230522	1045318717354	617813	412160	220571	2633664	227252	38312	7736	1696	864	96	336	592	0.06661955177405209	3986	50157	7226	1837	341	94	31	0	96	93	5344338
48000001	5521223	22687075781	3696966442005	689713191185	1067152649876	617813	412160	227080	2708441	230432	39191	8963	1700	867	96	336	598	0.06703549860342711	4033	51795	7290	1869	357	94	31	0	96	93	5455565
49000001	5635825	23159341995	3773749315127	703984079176	1089300136800	617813	412160	233856	2767388	233666	40016	9024	1760	896	96	336	656	0.06709579454906542	4158	52706	7492	1915	357	94	31	0	96	108	5568868
50000001	5748512	23630869713	3849284648114	717981698324	1111066680186	617813	412160	243656	2841462	237758	40438	9188	1772	943	96	375	672	0.06752719864945603	4237	53905	7665	1947	357	94	31	0	96	108	5680072
51000001	5863111	24102452825	3926023348010	732311077238	1133196612577	617813	412160	255528	2893233	243513	41539	9264	1776	960	96	384	672	0.06758754769436182	4534	54721	7836	1962	357	94	31	0	96	108	5793372
52000001	5979465	24574513898	4003853701839	746896259499	1155718645099	617813	412160	257152	2941447	245864	43152	9392	1776	960	96	416	672	0.06732551793604773	4597	55786	7883	2054	405	94	31	0	96	108	5908411
53000001	6095604	25046196141	4081548672389	761456621612	1178171296165	617813	412160	261058	2986856	251040	46096	9392	1904	960	96	416	672	0.06714131948789963	4674	56676	8053	2164	405	110	31	0	96	108	6023287
54000001	6212138	25518396173	4159485586717	776066023968	1200711617632	617813	412160	262528	3032970	255247	46096	9392	1904	960	96	416	672	0.06685705431746196	4690	57453	8164	2164	405	110	31	0	96	108	6138917
55000001	6327803	25991217695	4236910738309	790537481232	1223083127305	617813	412160	262528	3084133	263078	46776	9392	1930	986	96	416	672	0.06672739878677457	4690	58283	8476	2180	405	110	46	0	96	108	6253409
56000001	6442332	26463926163	4313616601921	804800727201	1245219681331	617813	412160	266980	3147218	267444	47000	9464	2000	1024	96	432	708	0.0668279630923578	4737	59634	8554	2211	405	110	46	0	96	108	6366431
57000001	6555907	26936314101	4389703033364	818938116132	1267150116606	617813	412160	276864	3214358	270794	47132	9516	2032	1056	96	432	720	0.06707017426192677	4988	60867	8618	2227	405	110	46	0	96	108	6478442
58000001	6670055	27412269063	4466175856979	833172265429	1289210923667	617813	412160	282268	3277967	275288	47368	9688	2080	1056	96	432	752	0.06718956780707641	5160	62027	8772	2227	405	110	46	0	96	108	6591104
59000001	6783560	27885911903	4542246179125	847306801023	1311138208177	617813	412160	293888	3342014	279564	47712	9840	2224	1088	128	432	752	0.06741765987427695	5347	63131	8835	2243	405	110	46	0	96	108	6703239
60000001	6899201	28356943282	4619614129322	861799715842	1333488573719	617813	412160	295680	3395421	285392	47712	9840	2224	1088	128	432	752	0.06731114887814751	5379	63926	9023	2243	405	110	46	0	96	108	6817865
61000001	7015421	28829501536	4697382368373	876346372405	1355974304769	617813	412160	296926	3441490	292816	48352	9872	2256	1088	128	432	752	0.06711658906366247	5411	64786	9161	2259	405	142	46	0	96	108	6933007
62000001	7130907	29301901502	4774671034847	890825694069	1378290795617	617813	412160	299264	3493910	299869	48649	9872	2256	1088	128	432	752	0.06703580537039024	5519	65788	9303	2259	405	142	46	0	96	108	7047241
63000001	7246922	29774033986	4852353766516	905348304743	1400714151022	617813	412160	299264	3542839	304971	51040	10096	2288	1130	128	464	752	0.06687257036710206	5519	66596	9429	2290	436	158	46	0	96	108	7162244
64000001	7361146	30246690362	4928854482981	919584780486	1422792072824	617813	412160	306432	3605172	307248	52217	11269	2288	1184	128	464	816	0.06698778020331593	5598	67874	9572	2413	483	158	61	0	96	108	7274783
65000001	7474353	30718628003	5004716128691	933644378682	1444675232778	617813	412160	313432	3678180	310276	52766	12079	2319	1215	128	464	876	0.06725746050373138	5705	69356	9633	2445	514	158	61	0	96	124	7386261
66000001	7588897	31192933101	5081440011283	947917202655	1466805242171	617813	412160	319928	3738835	313869	53536	12112	2352	1216	128	464	880	0.0673230292829844	5828	70733	9710	2461	514	158	61	0	96	124	7499212
67000001	7701810	31664276192	5157163200298	961934838138	1488586785996	617813	412160	331058	3809993	318048	54054	12326	2368	1280	128	512	896	0.0676218348116144	5969	72120	9821	2477	514	158	61	0	111	124	7610455
