CallTimes	TotalTime	GenVoltageTime	GenLFTime	CheckQTime	CheckConnectTime	ReverseBTime	ReverseYTime	0	1	2	3	4	5	6	7	8	9	10	9Rate	0time	1time	2time	3time	4time	5time	6time	7time	8time	9time	10time	SuccessCaseLFTime
53000001	7050941	28786361771	4748759864992	738361898923	1623071538931	160711	408178	438404	3035919	346112	36272	17072	1776	192	96	0	96	0.07313092314847315	8475	101355	15835	2541	1357	157	19	0	0	17	6921185	68780019
54000001	7183667	29348503837	4840094457969	752236423397	1654308648897	160711	408178	441344	3093350	352239	37038	17199	1776	192	96	0	96	0.0730246282773217	8538	103252	16069	2556	1357	157	19	0	0	17	7051702	70121043
55000001	7316907	29938748617	4930785563154	766202756194	1685370994030	160711	408178	443198	3152432	361861	38014	17509	1776	192	96	0	96	0.0730031623090334	8538	104902	16400	2682	1372	157	19	0	0	17	7182820	71482753
56000001	7450724	30498824845	5020690793758	780200921437	1716068979632	160711	408178	452404	3207946	368632	39012	17936	1776	192	96	0	96	0.07300160583925704	8681	106808	16572	2697	1404	157	19	0	0	17	7314369	72842219
57000001	7584004	31029283426	5110333508513	794211524281	1747125324615	160711	408178	462912	3268098	376252	39390	18328	1776	192	96	0	96	0.07310771801565406	8884	108727	16948	2712	1419	157	19	0	0	17	7445121	74221443
58000001	7716265	31534045431	5201333303653	808071067870	1777708554590	160711	408178	470754	3324645	383336	40145	18704	1808	192	96	0	104	0.07309972287759098	9136	110716	17261	2806	1450	157	19	0	0	17	7574703	75596896
59000001	7846965	32039948513	5291184019904	821869396226	1808198643810	160711	408178	486144	3388951	386411	40740	19024	1808	192	96	0	128	0.0732795580800075	9358	112720	17448	2806	1481	157	19	0	0	18	7702958	76979089
60000001	7980565	32541461988	5382754430178	835859507073	1838754407108	160711	408178	489728	3443011	394333	41360	19024	1808	192	96	0	128	0.0731613321139778	9467	114725	17746	2837	1481	157	19	0	0	18	7834115	78299554
61000001	8113645	33043179550	5473621045315	849782875403	1869580157720	160711	408178	493756	3505012	400064	42048	19408	1872	192	96	0	128	0.07315698240726258	9532	116865	17948	2883	1529	157	19	0	0	18	7964694	79689301
62000001	8248399	33547980225	5565003689806	863641251790	1900863040181	160711	408178	498432	3561925	408013	42593	19458	1872	192	96	0	128	0.0731082084982547	9610	119176	18214	2961	1529	157	19	0	0	18	8096715	81032593
63000001	8381369	34117352513	5656028675285	877418138121	1932681468128	160711	408178	500736	3616992	416232	43497	19904	1872	192	96	0	128	0.07301030042840793	9626	120873	18559	3072	1544	157	19	0	0	18	8227501	82363852
64000001	8515802	34619266425	5747483494643	891292771853	1963411606596	160711	408178	507096	3669994	424240	44477	20332	1888	192	96	0	128	0.07294442073524343	9754	122629	18840	3135	1575	157	19	0	0	18	8359675	83703982
65000001	8647738	35150363203	5837177318574	904800873863	1994083610591	160711	408178	524904	3732539	428408	44970	20793	1949	224	96	0	128	0.07313862964402108	10103	124824	18953	3182	1591	157	19	0	0	18	8488891	85126128
66000001	8782098	35690232585	5927686796084	918929068290	2026540247869	160711	408178	530736	3789639	436737	45441	21282	1952	224	128	0	128	0.07312525646779915	10290	126777	19420	3275	1591	157	19	0	0	18	8620551	86485853
67000001	8914333	36194353999	6017795641194	932582781039	2057995460748	160711	408178	551364	3845418	440490	45962	21806	1971	256	128	0	128	0.0732466108470655	10757	128547	19530	3322	1637	157	34	0	0	18	8750331	87894519
